"A","B","C","D","E","F","G","H","I","J","sim","n","type"
-34.7753722608062,-34.763167975842,-34.6350931256052,-34.1275015397452,-33.8264121001024,-33.2029877618234,-32.5112965494802,-28.4015645621,-20.9741891632953,-12.5301418446789,50.5,100,"mixt"
-40.0414103335647,-39.7678436736012,-39.5379817073292,-38.3986013608761,-36.7563952060428,-35.7079833260906,-34.0587637574247,-24.8308825206152,-7.62665137436799,14.1538916185698,50.5,250,"mixt"
-44.0421159579186,-43.8034741834247,-43.0948379887893,-41.0063571469769,-39.2033900083932,-35.4296983904218,-31.1760334490985,-12.126163543388,25.0114389626272,65.8504511918803,50.5,500,"mixt"
-46.5715766040774,-45.8304005025232,-44.5284365850698,-41.5209679634623,-38.7912009068779,-33.8999071307416,-29.6618438183032,2.78091504745458,53.6722219946974,116.613039404073,50.5,750,"mixt"
-48.1639122353435,-47.633038240671,-45.3783687004485,-42.3236825266215,-37.2318863761612,-31.2982272183316,-23.2553581176635,16.3397601017748,85.2807520280008,172.395676488923,50.5,1000,"mixt"
-50.6328571433051,-49.7876930274328,-46.221032630756,-41.8336142639023,-34.5735871243147,-25.0409960748241,-15.4709225955942,46.1116392895257,150.258128125671,276.935513560353,50.5,1500,"mixt"
-52.3889960630376,-50.8571488854613,-47.2147437480269,-39.02657486757,-31.3879656114762,-17.7521741773618,-5.36963682274142,76.8363766222151,216.017371664284,386.833693461036,50.5,2000,"mixt"
-53.6629491226967,-51.9857206920219,-46.7337275614258,-38.3483830254081,-26.2262898893539,-12.5944314150602,6.05670480047018,106.154482281374,288.796443182432,493.907505704304,50.5,2500,"mixt"
-57.9864783664592,-54.6261079957696,-44.6445307243728,-27.8127182553306,-3.6218952817945,26.5315081931344,63.0230739073643,265.426552579446,615.7605387202,1041.53058354648,50.5,5000,"mixt"
-62.0650316371227,-55.2556526787965,-34.1320154227455,-2.07713310598965,46.1729222315512,106.991214303038,176.373953167758,583.915591603217,1293.58981283204,2130.71158461703,50.5,10000,"mixt"
-9.59493085599334,-9.59493556146261,-9.53010867217684,-9.04445755798538,-8.72330760609189,-8.12558655723708,-7.42735441429889,-3.32926997335208,4.07781575197875,12.5103167536174,50.5,100,"soft"
-9.43662653973611,-9.21910520143572,-8.98353767194872,-7.82173526238222,-6.20412524788686,-5.25531701541594,-3.51520072725276,5.6807469361976,23.0035669323989,44.601931705343,50.5,250,"soft"
-9.25903215039607,-9.08261702828523,-8.32683547625344,-6.21335544773061,-4.45287884406596,-0.626144501466134,3.57651191891048,22.7161322543891,59.7520111810732,100.598060681289,50.5,500,"soft"
-9.40207115851843,-8.62684430940186,-7.30106647914418,-4.43594695605759,-1.65377428464996,3.3338748666023,7.48546869170862,39.9652536070224,90.9220884511032,153.802021494092,50.5,750,"soft"
